'frequency','sig_1.db','sig_1.deg','sig_2.db','sig_2.deg','sig_3.db','sig_3.deg','sig_4.db','sig_4.deg'
1,0,0,-4.34294264691e-006,-0.0572957604145,-4.34191392886e-006,-0.0580157604145,108.370793922,-0.0920357633974
1.01392540756,0,0,-4.46473924745e-006,-0.0580936266866,-4.46368168248e-006,-0.0588236529801,108.370793795,-0.0933173929356
1.02804473209,0,0,-4.58995159776e-006,-0.0589026035487,-4.58886436907e-006,-0.0596427957558,108.370793665,-0.094616875302
1.04236067398,0,0,-4.71867549142e-006,-0.0597228457193,-4.71755777742e-006,-0.0604733454046,108.370793531,-0.095934452777
1.05687597118,0,6.51377598764e-012,-4.85100940577e-006,-0.060554510065,-4.84986034144e-006,-0.0613154607643,108.370793393,-0.0972703831761
1.07159339982,0,0,-4.9870545877e-006,-0.0613977556627,-4.98587329841e-006,-0.0621693029106,108.370793252,-0.0986249109222
1.08651577465,0,0,-5.12691511442e-006,-0.0622527437652,-5.12570070044e-006,-0.063035035123,108.370793106,-0.0999983015426
1.10164594963,0,6.51377598764e-012,-5.27069798891e-006,-0.0631196378907,-5.26944951389e-006,-0.0639128229745,108.370792957,-0.101390818799
1.11698681847,0,0,-5.41851320939e-006,-0.0639986038538,-5.41722972634e-006,-0.0648028343632,108.370792803,-0.102802724857
1.13254131515,0,0,-5.57047386378e-006,-0.0648898097388,-5.56915438523e-006,-0.0657052394858,108.370792645,-0.104234296942
1.14831241454,0,0,-5.72669620783e-006,-0.065793425997,-5.72533972124e-006,-0.0666202109355,108.370792482,-0.105685800012
1.16430313292,0,0,-5.88729975963e-006,-0.0667096254463,-5.88590522738e-006,-0.0675479237021,108.370792315,-0.107157514192
1.18051652857,0,0,-6.05240738834e-006,-0.0676385833116,-6.05097375256e-006,-0.0684885552123,108.370792143,-0.108649728866
1.19695570236,0,0,-6.22214541156e-006,-0.0685804772575,-6.22067156133e-006,-0.0694422853633,108.370791967,-0.110162716835
