%frequency sig_1.db sig_1.deg
1  0 0
1.01392540756  0 0
1.02804473209  0 0
1.04236067398  0 0
1.05687597118  0 0
1.07159339982  0 0
1.08651577465  0 0
1.10164594963  0 0
1.11698681847  0 0
1.13254131515  0 0
1.14831241454  0 0
1.16430313292  0 0
1.18051652857  0 0
1.19695570236  0 0
1.21362379834  0 0
1.23052400436  0 0
1.24765955263  0 0
1.2650337204  0 0
1.28264983053  0 0
1.30051125217  0 0
1.31862140139  0 0
1.33698374182  0 0
1.35560178533  0 0
1.37447909268  0 0
1.39361927422  0 0
1.4130259906  0 0
1.43270295341  0 0
1.45265392595  0 0
1.47288272391  0 0
1.49339321612  0 0
1.5141893253  0 0
1.53527502878  0 0
1.55665435927  0 0
1.57833140565  0 0
1.60031031374  0 0
1.62259528708  0 0
1.64519058775  0 0
1.6681005372  0 0
1.69132951703  0 0
1.71488196987  0 0
1.73876240022  0 0
1.76297537529  0 0
1.7875255259  0 0
1.81241754737  0 0
1.83765620039  0 0
1.86324631193  0 0
1.88919277621  0 0
1.91550055557  0 0
1.94217468149  0 0
1.96922025548  0 0
1.99664245011  0 0
2.02444650998  0 0
2.05263775271  0 0
2.08122156999  0 0
2.11020342857  0 0
2.13958887134  0 0
2.16938351839  0 0
2.19959306803  0 0
2.23022329797  0 0
2.26128006634  0 0
2.29276931287  0 0
2.32469705999  0 0
2.357069414  0 0
2.38989256623  0 0
2.42317279424  0 0
2.45691646298  0 0
2.49113002607  0 0
2.52582002696  0 0
2.56099310026  0 0
2.59665597293  0 0
2.63281546565  0 0
2.66947849403  0 0
2.70665207003  0 0
2.74434330323  0 0
2.78255940221  0 0
2.82130767594  0 0
2.86059553518  0 0
2.90043049386  0 0
2.94082017059  0 0
2.98177229002  0 0
3.02329468441  0 0
3.06539529506  0 0
3.10808217387  0 0
3.15136348487  0 0
3.19524750576  0 0
3.23974262953  0 0
3.28485736603  0 0
3.33060034362  0 0
3.37698031083  0 0
3.42400613797  0 0
3.47168681893  0 0
3.5200314728  0 0
3.56904934568  0 0
3.61874981241  0 0
3.6691423784  0 0
3.72023668141  0 0
3.77204249342  0 0
3.82456972247  0 0
3.87782841459  0 0
3.93182875571  0 0
3.98658107358  0 0
4.0420958398  0 0
4.09838367176  0 0
4.15545533472  0 0
4.21332174385  0 0
4.27199396631  0 0
4.33148322338  0 0
4.3918008926  0 0
4.45295850994  0 0
4.51496777204  0 0
4.57784053838  0 0
4.64158883361  0 0
4.70622484984  0 0
4.77176094894  0 0
4.83820966493  0 0
4.90558370637  0 0
4.97389595879  0 0
5.04315948717  0 0
5.11338753841  0 0
5.18459354389  0 0
5.25679112202  0 0
5.32999408084  0 0
5.40421642071  0 0
5.4794723369  0 0
5.5557762224  0 0
5.6331426706  0 0
5.71158647813  0 0
5.79112264764  0 0
5.87176639073  0 0
5.95353313081  0 0
6.03643850608  0 0
6.12049837248  0 0
6.20572880678  0 0
6.29214610961  0 0
6.37976680861  0 0
6.46860766155  0 0
6.55868565957  0 0
6.65001803043  0 0
6.74262224178  0 0
6.83651600451  0 0
6.93171727616  0 0
7.02824426431  0 0
7.12611543011  0 0
7.22534949179  0 0
7.32596542822  0 0
