'frequency','sig_1.db','sig_1.deg','sig_2.db','sig_2.deg','sig_3.db','sig_3.deg'
1,0,0,-4.34294264691e-006,-0.0572957604145,-4.34191392886e-006,-0.0580157604145
1.01392540756,0,0,-4.46473924745e-006,-0.0580936266866,-4.46368168248e-006,-0.0588236529801
1.02804473209,0,0,-4.58995159776e-006,-0.0589026035487,-4.58886436907e-006,-0.0596427957558
1.04236067398,0,0,-4.71867549142e-006,-0.0597228457193,-4.71755777742e-006,-0.0604733454046
1.05687597118,0,0,-4.85100940577e-006,-0.0605545100715,-4.84986034144e-006,-0.0613154607708
1.07159339982,0,0,-4.9870545877e-006,-0.0613977556627,-4.98587329841e-006,-0.0621693029106
1.08651577465,0,0,-5.12691511442e-006,-0.0622527437652,-5.12570070044e-006,-0.063035035123
1.10164594963,0,0,-5.27069798891e-006,-0.0631196378972,-5.26944951389e-006,-0.063912822981
1.11698681847,0,0,-5.41851320939e-006,-0.0639986038538,-5.41722972634e-006,-0.0648028343632
1.13254131515,0,0,-5.57047386378e-006,-0.0648898097388,-5.56915438523e-006,-0.0657052394858
1.14831241454,0,0,-5.72669620783e-006,-0.065793425997,-5.72533972124e-006,-0.0666202109355
1.16430313292,0,0,-5.88729975963e-006,-0.0667096254463,-5.88590522738e-006,-0.0675479237021
1.18051652857,0,0,-6.05240738834e-006,-0.0676385833116,-6.05097375256e-006,-0.0684885552123
1.19695570236,0,0,-6.22214541156e-006,-0.0685804772575,-6.22067156133e-006,-0.0694422853633
1.21362379834,0,0,-6.39664368502e-006,-0.0695354874226,-6.39512850269e-006,-0.0704092965575
1.23052400436,0,0,-6.57603570675e-006,-0.070503796454,-6.5744780332e-006,-0.0713897737372
1.24765955263,0,0,-6.76045872218e-006,-0.0714855895422,-6.75885736838e-006,-0.0723839044201
1.2650337204,0,0,-6.95005382538e-006,-0.0724810544564,-6.94840755603e-006,-0.0733918787351
1.28264983053,0,0,-7.14496606227e-006,-0.0734903815806,-7.1432736276e-006,-0.0744138894586
1.30051125217,0,0,-7.34534455211e-006,-0.0745137639497,-7.3436046493e-006,-0.0754501320514
1.31862140139,0,0,-7.55134259358e-006,-0.0755513972869,-7.54955389862e-006,-0.076500804696
1.33698374182,0,0,-7.76311778245e-006,-0.0766034800406,-7.76127892887e-006,-0.0775661083349
1.35560178533,0,0,-7.98083214076e-006,-0.0776702134227,-7.97894171196e-006,-0.0786462467083
1.37447909268,0,0,-8.20465222969e-006,-0.078751801447,-8.20270878978e-006,-0.0797414263938
1.39361927422,0,0,-8.43474928068e-006,-0.0798484509679,-8.43275133399e-006,-0.0808518568455
1.4130259906,0,0,-8.6712993266e-006,-0.0809603717207,-8.66924535141e-006,-0.0819777504341
1.43270295341,0,0,-8.91448334446e-006,-0.0820877763609,-8.91237176698e-006,-0.0831193224874
1.45265392595,0,0,-9.16448737789e-006,-0.0832308805052,-9.16231658286e-006,-0.084276791332
1.47288272391,0,0,-9.4215026924e-006,-0.084389902773,-9.41927102021e-006,-0.0854503783343
1.49339321612,0,0,-9.68572591713e-006,-0.0855650648277,-9.6834316532e-006,-0.0866403079434
1.5141893253,0,0,-9.95735919336e-006,-0.0867565914195,-9.9550005826e-006,-0.0878468077338
1.53527502878,0,0,-1.02366103365e-005,-0.087964710428,-1.02341855766e-005,-0.0890701084489
1.55665435927,0,0,-1.05236929818e-005,-0.0891896529063,-1.05212002261e-005,-0.0903104440451
1.57833140565,0,0,-1.08188267646e-005,-0.0904316531245,-1.08162640911e-005,-0.0915680517368
1.60031031374,0,0,-1.11222374746e-005,-0.0916909486152,-1.1119602942e-005,-0.0928431720413
1.62259528708,0,0,-1.14341572342e-005,-0.0929677802184,-1.14314488128e-005,-0.0941360488253
1.64519058775,0,0,-1.17548246762e-005,-0.0942623921278,-1.17520403003e-005,-0.0954469293512
1.6681005372,0,0,-1.20844851269e-005,-0.0955750319374,-1.20816226673e-005,-0.0967760643244
1.69132951703,0,0,-1.24233907891e-005,-0.0969059506889,-1.24204480529e-005,-0.0981237079413
1.71488196987,0,0,-1.27718009431e-005,-0.0982554029196,-1.27687756737e-005,-0.0994901179381
1.73876240022,0,0,-1.31299821382e-005,-0.0996236467113,-1.3126872025e-005,-0.10087555564
1.76297537529,0,0,-1.34982083974e-005,-0.101010943739,-1.34950110615e-005,-0.10228028601
1.7875255259,0,0,-1.38767614295e-005,-0.102417559323,-1.38734744273e-005,-0.103704577702
1.81241754737,0,0,-1.42659308489e-005,-0.103843762476,-1.42625516606e-005,-0.10514870311
1.83765620039,0,0,-1.46660143802e-005,-0.105289825958,-1.4662540428e-005,-0.106612938422
1.86324631193,0,0,-1.50773181116e-005,-0.106756026326,-1.50737467379e-005,-0.108097563671
1.88919277621,0,0,-1.55001567044e-005,-0.108242643989,-1.54964851657e-005,-0.109602862788
1.91550055557,0,0,-1.59348536484e-005,-0.10974996326,-1.59310791432e-005,-0.11112912366
1.94217468149,0,0,-1.63817415077e-005,-0.111278272411,-1.63778611508e-005,-0.112676638182
1.96922025548,0,0,-1.68411621689e-005,-0.112827863728,-1.68371729872e-005,-0.114245702313
1.99664245011,0,0,-1.7313467108e-005,-0.114399033568,-1.73093660504e-005,-0.115836616132
2.02444650998,0,0,-1.77990176603e-005,-0.115992082412,-1.77948015898e-005,-0.117449683899
2.05263775271,0,0,-1.82981852907e-005,-0.117607314927,-1.82938509768e-005,-0.119085214109
2.08122156999,0,0,-1.88113518837e-005,-0.119245040023,-1.88068960197e-005,-0.120743519553
