%frequency sig_1.db sig_1.deg sig_2.db sig_2.deg
1  0 0  -4.34294264788e-006 -0.0572957604145
1.01392540756  0 0  -4.46473924842e-006 -0.0580936266866
1.02804473209  0 0  -4.58995159776e-006 -0.0589026035487
1.04236067398  0 0  -4.71867549238e-006 -0.0597228457193
1.05687597118  0 0  -4.85100940769e-006 -0.0605545100715
1.07159339982  0 0  -4.9870545877e-006 -0.0613977556627
1.08651577465  0 0  -5.12691511634e-006 -0.0622527437652
1.10164594963  0 0  -5.27069798795e-006 -0.0631196378972
1.11698681847  0 0  -5.41851321036e-006 -0.0639986038538
1.13254131515  0 0  -5.57047386378e-006 -0.0648898097388
1.14831241454  0 0  -5.72669620879e-006 -0.065793425997
1.16430313292  0 0  -5.88729975963e-006 -0.0667096254463
1.18051652857  0 0  -6.0524073893e-006 -0.0676385833116
1.19695570236  0 0  -6.22214541156e-006 -0.0685804772575
1.21362379834  0 0  -6.39664368405e-006 -0.0695354874226
1.23052400436  0 0  -6.57603570675e-006 -0.070503796454
1.24765955263  0 0  -6.76045872314e-006 -0.0714855895422
1.2650337204  0 0  -6.95005382441e-006 -0.0724810544564
1.28264983053  0 0  -7.14496606323e-006 -0.0734903815806
1.30051125217  0 0  -7.34534455114e-006 -0.0745137639497
1.31862140139  0 0  -7.55134259262e-006 -0.0755513972869
1.33698374182  0 0  -7.76311778438e-006 -0.0766034800406
1.35560178533  0 0  -7.98083214366e-006 -0.0776702134227
1.37447909268  0 0  -8.20465223066e-006 -0.078751801447
1.39361927422  0 0  -8.43474927875e-006 -0.0798484509679
1.4130259906  0 0  -8.67129932757e-006 -0.0809603717207
1.43270295341  0 0  -8.91448334446e-006 -0.0820877763609
1.45265392595  0 0  -9.16448737693e-006 -0.0832308805052
1.47288272391  0 0  -9.4215026924e-006 -0.084389902773
1.49339321612  0 0  -9.68572591616e-006 -0.0855650648277
1.5141893253  0 0  -9.95735919336e-006 -0.0867565914195
1.53527502878  0 0  -1.02366103346e-005 -0.087964710428
1.55665435927  0 0  -1.05236929818e-005 -0.0891896529063
1.57833140565  0 0  -1.08188267646e-005 -0.0904316531245
1.60031031374  0 0  -1.11222374746e-005 -0.0916909486152
1.62259528708  0 0  -1.14341572342e-005 -0.0929677802184
1.64519058775  0 0  -1.17548246762e-005 -0.0942623921278
1.6681005372  0 0  -1.20844851269e-005 -0.0955750319374
1.69132951703  0 0  -1.2423390791e-005 -0.0969059506889
1.71488196987  0 0  -1.2771800945e-005 -0.0982554029196
1.73876240022  0 0  -1.31299821391e-005 -0.0996236467113
1.76297537529  0 0  -1.34982083964e-005 -0.101010943739
1.7875255259  0 0  -1.38767614304e-005 -0.102417559323
1.81241754737  0 0  -1.4265930847e-005 -0.103843762476
1.83765620039  0 0  -1.46660143812e-005 -0.105289825958
1.86324631193  0 0  -1.50773181116e-005 -0.106756026326
1.88919277621  0 0  -1.55001567035e-005 -0.108242643989
1.91550055557  0 0  -1.59348536493e-005 -0.10974996326
1.94217468149  0 0  -1.63817415077e-005 -0.111278272411
1.96922025548  0 0  -1.68411621689e-005 -0.112827863728
1.99664245011  0 0  -1.7313467109e-005 -0.114399033568
2.02444650998  0 0  -1.77990176593e-005 -0.115992082412
2.05263775271  0 0  -1.82981852907e-005 -0.117607314927
2.08122156999  0 0  -1.88113518818e-005 -0.119245040023
2.11020342857  0 0  -1.9338910034e-005 -0.120905570909
2.13958887134  0 0  -1.9881263342e-005 -0.122589225157
2.16938351839  0 0  -2.04388267338e-005 -0.12429632476
2.19959306803  0 0  -2.10120267681e-005 -0.126027196196
2.23022329797  0 0  -2.16013019635e-005 -0.127782170487
2.26128006634  0 0  -2.22071031417e-005 -0.129561583266
2.29276931287  0 0  -2.28298937614e-005 -0.131365774837
2.32469705999  0 0  -2.34701502861e-005 -0.133195090246
2.357069414  0 0  -2.41283625348e-005 -0.135049879339
2.38989256623  0 0  -2.48050340646e-005 -0.136930496838
2.42317279424  0 0  -2.55006825585e-005 -0.138837302401
2.45691646298  0 0  -2.62158402116e-005 -0.140770660694
2.49113002607  0 0  -2.69510541447e-005 -0.142730941463
2.52582002696  0 0  -2.7706886826e-005 -0.144718519598
2.56099310026  0 0  -2.84839164975e-005 -0.146733775214
2.59665597293  0 0  -2.92827376093e-005 -0.148777093715
2.63281546565  0 0  -3.01039612957e-005 -0.150848865872
2.66947849403  0 0  -3.0948215816e-005 -0.152949487898
2.70665207003  0 0  -3.18161470596e-005 -0.155079361522
2.74434330323  0 0  -3.27084190191e-005 -0.157238894067
2.78255940221  0 0  -3.36257143173e-005 -0.159428498526
2.82130767594  0 0  -3.45687347119e-005 -0.161648593645
2.86059553518  0 0  -3.55382016496e-005 -0.163899603997
2.90043049386  0 0  -3.65348568038e-005 -0.166181960069
2.94082017059  0 0  -3.75594626434e-005 -0.168496098341
2.98177229002  0 0  -3.86128030284e-005 -0.17084246137
3.02329468441  0 0  -3.9695683796e-005 -0.173221497876
3.06539529506  0 0  -4.0808933383e-005 -0.175633662825
3.10808217387  0 0  -4.19534034578e-005 -0.178079417518
3.15136348487  0 0  -4.31299695768e-005 -0.180559229679
3.19524750576  0 0  -4.43395318447e-005 -0.183073573545
3.23974262953  0 0  -4.5583015611e-005 -0.185622929954
3.28485736603  0 0  -4.68613721728e-005 -0.188207786439
3.33060034362  0 0  -4.81755795129e-005 -0.190828637322
3.37698031083  0 0  -4.95266430294e-005 -0.193485983807
3.42400613797  0 0  -5.09155963232e-005 -0.196180334074
3.47168681893  0 0  -5.23435019766e-005 -0.198912203381
